url,name,slug,postal_code,condo_fee_min_brl,iptu_min_brl,area_min_m2,area_max_m2,bedrooms_min,bedrooms_max,bathrooms_min,bathrooms_max,parking_spots_min,parking_spots_max,construction_year
https://www.quintoandar.com.br/condominio/cruzeiro-do-sul-ingleses-norte-florianopolis-ek99s71j9k,Cruzeiro do Sul,cruzeiro-do-sul-ingleses-norte-florianopolis,88058-500,650,100,42,50,1,1,1,1,,1,
https://www.quintoandar.com.br/condominio/taj-mahal-itacorubi-florianopolis-9p18se147k,Taj Mahal,taj-mahal-itacorubi-florianopolis,88034-000,550,88,58,177,1,4,1,3,,2,
https://www.quintoandar.com.br/condominio/residencial-matheus-ingleses-do-rio-vermelho-florianopolis-ek99sm10xk,Residencial Matheus,residencial-matheus-ingleses-do-rio-vermelho-florianopolis,88058-335,270,15,70,80,1,3,1,2,1,1,
https://www.quintoandar.com.br/condominio/rua-deputado-antonio-edu-vieira-222-pantanal-florianopolis-jpqms2vl3d,,rua-deputado-antonio-edu-vieira-222-pantanal-florianopolis,88040-000,320,125,45,87,1,2,1,2,1,2,
https://www.quintoandar.com.br/condominio/recanto-do-ribeirao-ribeirao-da-ilha-florianopolis-9dzqsy8y9d,Recanto do Ribeirão,recanto-do-ribeirao-ribeirao-da-ilha-florianopolis,88064-041,300,,54,300,2,3,1,2,1,1,
https://www.quintoandar.com.br/condominio/plaza-mediterranee-capoeiras-florianopolis-7kg3s7rr2p,Plaza Mediterranee,plaza-mediterranee-capoeiras-florianopolis,88080-170,240,55,31,82,1,3,1,2,,1,
https://www.quintoandar.com.br/condominio/costa-sul-itacorubi-florianopolis-3keysggemp,Costa Sul,costa-sul-itacorubi-florianopolis,88034-480,523,91,80,126,2,4,1,4,1,2,
https://www.quintoandar.com.br/condominio/anabella-centro-florianopolis-9d37s62vep,AnaBella,anabella-centro-florianopolis,88015-420,1500,292,110,130,2,4,2,4,2,4,
https://www.quintoandar.com.br/condominio/rua-antonio-jose-thomaz-da-costa-500-lagoa-pequena-florianopolis-p0gsgg43nk,,rua-antonio-jose-thomaz-da-costa-500-lagoa-pequena-florianopolis,88063-610,800,53,43,72,1,2,1,2,1,1,
https://www.quintoandar.com.br/condominio/rua-presidente-coutinho-582-centro-florianopolis-p6js86qrrk,,rua-presidente-coutinho-582-centro-florianopolis,88015-231,,,60,60,1,1,1,1,1,1,
https://www.quintoandar.com.br/condominio/residencial-porto-da-lagoa-lagoa-da-conceicao-florianopolis-9dzqs84qqd,Residencial Porto da Lagoa,residencial-porto-da-lagoa-lagoa-da-conceicao-florianopolis,88062-201,634,100,47,180,1,3,1,3,1,3,
https://www.quintoandar.com.br/condominio/residencial-maria-esther-balneario-florianopolis-rp0gs6gl4k,Residencial Maria Esther,residencial-maria-esther-balneario-florianopolis,88075-290,472,82,87,155,2,3,2,2,2,3,2019
https://www.quintoandar.com.br/condominio/riviera-coqueiros-florianopolis-9d37s0qwgp,Riviera,riviera-coqueiros-florianopolis,88080-010,600,719,91,200,3,4,2,4,1,2,
https://www.quintoandar.com.br/condominio/isola-valenzano-itacorubi-florianopolis-1d47s12e0d,Isola Valenzano,isola-valenzano-itacorubi-florianopolis,88034-060,643,109,94,157,2,3,1,3,2,2,
https://www.quintoandar.com.br/condominio/servidao-dona-vitorina-lopes-140-campeche-florianopolis-jdjrsjv91k,,servidao-dona-vitorina-lopes-140-campeche-florianopolis,88066-026,,,55,65,2,2,1,2,1,1,
